
             --- tqwNet connected Systems as of 2022-02-18 ---


==================================================================================
Node BBS Name				Sysop			Address    
==================================================================================

NET 1 (1337:1/xxx)

100 tqwNet UK HUB			Christian Sacks		hub.uk.erb.pw:24556
101 The Quantum Wormhole		Christian Sacks		bbs.erb.pw
102 Kuehlbox				Philipp Giebel		kuehlbox.wtf
103 HB3NOS				Henk Blanken		62.238.86.72
104 FuNToPia				Stephan Gebbers		funtopia.ddnss.eu:2023
105 TechNoir				Runner Seven		technoir.panthermodern.net:723
106 -.sOUNDGARDEn.-			Marco Reparon		* Private *
107 Sonic BBS				Louis Northmore		bbs.sonicbbs.co.uk
108 Imzadi Box				Anna Christina Nass	box.imzadi.de
109 TheForze				Robbert Langezaal	bbs.opicron.eu
110 TFSI				Nick Young		bbs.tfsi.dev
111 BeBeeS				Milan Minic		gopher.su:1234
112 Roon's BBS				Daniel Path		bbs.studio64.hu:1212
113 Stealthworld BBS			Arjen Schumacher	stealthworld.tk:2023
114 Silent Chat BBS			Michael Mrak		fidobbs.mrak.at
115 Bodax BBS				Tobias Rosenqvist	bbs.beardy.se
116 Taliadon BBS			Lee Westlake		taliadon.ddns.net
117 The Global Village BBS		Sebastian van der Veen	* Private *
118 Phrenetic BBS			Per Gustav Ousdal	bbs.phrenetic.no:2023
201 dYslExIc dOnkEy			Christian Sacks		dydo.erb.pw:1337
202 PiMP BBS				Christian Sacks		pimpbbs.erb.pw:18023


NET 2 (1337:2/xxx)

100 tqwNet AU HUB			Deon George		hub.au.erb.pw:24554
101 Alterant				Deon George		alterant.bbs.dege.au:10023
102 DELISTED				DELISTED		DELISTED
103 Freeway BBS				Tony Langdon		freeway.vkradio.com
104 Al's Geek Lab			Alistair Ross		bbs.alsgeeklab.com:2323
105 The Positronic Brain		Andrew Pamment		positronicbrain.net:11892
106 TassieBob BBS			Bob Purdon		bbs.tassiebob.com:2323
108 Mortal BBS				Shaun Ewing		bbs.mortalbbs.com
109 Retroverse				Matt Ianson		bbs.retroverse.au


NET 3 (1337:3/xxx)

100 tqwNet CA HUB			Christian Sacks		hub.ca.erb.pw:24554
102 The Wrong Number ][			Al DeRosa		wn2.duckdns.org
103 Capitol City Online			Mike Powell		capitolcityonline.net
104 CIA Amiga BBS			Tim Grooms		ciaamigabbs.dynu.net
105 Battlestar_BBS			Mark Iezzi		battlestarbbs.dyndns.org
106 The Bottomless Abyss BBS		Dave Cloutier		bbs.bottomlessabyss.net
107 Necronomicon BBS			Carlos Roldan		necrobbs.strangled.net
108 LostCause Halfway House BBS		Ernest J Gainey III	bbs.lostcause.house
111 Castle Rock BBS			Dan Richter		bbs.castlerockbbs.com
113 Raiders Inc BBS			Jon Justvig		vintagebbsing.com
115 Freeside BBS			Marty Taylor		freeside.bbs.io
116 V'Ger_BBS				Bradley Thornton	vger.cloud
117 Insane_Asylum			Ktulu			* Private *
119 Deadbeatz_BBS			Timothy Blada		deadbeatz.org
121 SpaceSST_BBS			Luc McCarragher		mccarragher.org
122 Dreambuilders			Hauns Froehlingsdorf	dreambuilders.fros.com:6800
123 The Drunken Gamer			Robbie Whiting		thedrunkengamer.com:8888
